NOME,LATITUDE,LONGITUDE
CENTRO DE REFERENCIA E TREINAMENTO DST AIDS SAO PAULO,-23.5967339,-46.6358568
HOSPITAL REGIONAL DE COTIA,-23.6089653,-46.9205267
QUARTEIRAO DA SAUDE,-23.6860757,-46.6172270
HOSPITAL DE CAMPANHA COVID 19 UPA ZONA LESTE,-23.9715459,-46.3019268
COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA,-23.5242624,-46.7014101
UPH ZONA NORTE UNIDADE DE ATENDIMENTO DE SINDROME GRIPAL,-23.4836671,-47.4720764
UPH ZONA LESTE UNIDADE DE ATENDIMENTO DE SINDROME GRIPAL,-23.5133012,-47.4299591
HOSPITAL SAO CAETANO,-23.6188858,-46.5723864
HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO,-20.8281507,-49.3976094
HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,-21.16230000,-47.85281000
UNIDADE HOSPITALAR VILA GUILHERME,-23.51627040,-46.60536980
HOSPITAL SANTA TEREZA DE RIBEIRAO PRETO,-21.20770000,-47.82910000
HOSPITAL ESTADUAL DE RIB PRETO DR CARLOS EDUARDO MARTINELLI,-21.21126000,-47.82732970
HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA,-23.65333150,-46.64568410
HOSPITAL DE RETAGUARDA DO JARDIM PAULISTA,-23.54072480,-46.88129150
HOSPITAL LOCAL DE SAPOPEMBA,-23.60987500,-46.51377810
HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN,-23.61778550,-46.55644250
HU HOSPITAL UNIVERSITARIO,-27.59735980,-48.51801430
HOSPITAL SAO JOSE,-23.49267070,-46.64684480
UNIDADE RESPIRATORIA NOVA HORTOLANDIA,-22.85458290,-47.21099270
HOSPITAL REGIONAL DE SOROCABA,-23.50944980,-47.45825520
HOSPITAL DE CLINICAS MUNICIPAL,-23.73285520,-46.57887290
HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO,-23.54128810,-46.22114740
HOSPITAL MATERNIDADE INTERLAGOS,-23.70689600,-46.70197150
CAISM PHILIPPE PINEL SAO PAULO,-23.48593990,-46.72431040
COMPLEXO HOSPITALAR PREFEITO EDIVALDO ORSI,-22.96268240,-47.13540150
CENTRO ESP EM REABILITACAO DR ARNALDO PEZZUTI CAVALCANTI MOG,-23.58291780,-46.24474320
HOSPITAL DOMINGOS LEONARDO CERAVOLO PRESIDENTE PRUDENTE,-22.13258980,-51.40753870
HOSP MUN PIRITUBA JOSE SOARES HUNGRIA,-23.48466220,-46.72754420
HOSPITAL REGIONAL DE PIRACICABA,-22.76142690,-47.58377880
HOSPITAL NOSSA SENHORA APARECIDA,-23.17449520,-47.05225100
HOSPITAL DR LEOPOLDO BEVILACQUA,-24.71724700,-47.87927650
CAISM DR DAVID CAPISTRANO DA COSTA FILHO DA AGUA FUNDA SP,-23.64385480,-46.62787000
HOSPITAL ESTADUAL DR ODILO ANTUNES DE SIQUEIRA P PRUDENTE,-22.14200940,-51.39957890
CENTRO MEDICO PMESP,-23.46918840,-46.61877410
DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS,-23.23854870,-45.90758240
UNIDADE DE RETAGUARDA DE URGENCIA E DIAGNOSTICO DO MELHADO,-21.78588000,-48.15956020
UNIDADE HOSPITALAR M BOI MIRIM II,-23.73473960,-46.78124500
HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA,-23.44061980,-46.40992500
HOSPITAL KATIA DE SOUZA RODRIGUES TAIPAS SAO PAULO,-23.44421780,-46.71792700
HOSPITAL PSIQUIATRICO DE VILA MARIANA,-23.58824190,-46.63833730
HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO,-23.59667450,-46.65427100
HOSPITAL SAO JOSE ITIRAPINA,-22.24967580,-47.82243010
HOSPITAL MUNICIPAL BRIGADEIRO,-23.58276760,-46.66747640
HOSP MUN M BOI MIRIM,-23.69226520,-46.77539250
HOSPITAL ESTADUAL DE MIRANDOPOLIS DR OSWALDO BRANDI FARIA,-21.12493390,-51.10350010
HOSPITAL MUNICIPAL MARIA ROSA CARDOSO,-24.22595520,-48.76775910
HOSPITAL CAMPANHA DO MUNICIPIO DE CAJAMAR,-23.41173590,-46.82512300
HOSPITAL DE CAMPANHA COVID 19 ARARAQUARA,-21.8108806,-48.1770414
